distance_sq, {'meter': 2.0}
y, {'second': 2.0}
y, {'second': 1.0}
prev_time, {'second': 1.0}
oy, {'radian': 1.0}
x_des, {'meter': 1.0}
mean.theta, {'radian': 1.0}
distance, {'meter': 1.0}
pitch_, {'radian': 1.0}
tgtvZ, {'second': -1.0}
ranges, {'meter': 1.0}
v, {'radian': 1.0}
arPoseMarkers_.header.stamp, {'second': 1.0}
error, {'radian': 1.0}
rr, {'second': -1.0, 'meter': 1.0}
last_hit, {'second': 1.0}
x_min, {'meter': 1.0}
prev_time, {'second': 1.0}
currentTime, {'second': 1.0}
move_time, {'second': -1.0}
x, {'meter': 1.0}
theta, {'radian': 1.0}
q_soln, {'radian': 1.0}
diff_angle, {'radian': 1.0}
b, {'radian': 1.0}
current_simulated_time_in_seconds, {'second': 1.0}
y, {'meter': 1.0}
phi, {'radian': 1.0}
u, {'radian': 1.0}
zRot, {'radian': 1.0}
y, {'meter': 1.0}
vec_a_b, {'meter': 1.0}
pos, {'meter': 1.0}
i, {'second': 1.0}
y, {'meter': 1.0}
y_start, {'meter': 1.0}
nominal_torque_per_motor, {'second': -2.0, 'meter': 2.0, 'kilogram': 1.0}
angle, {'radian': 1.0}
duration2, {'second': 1.0}
z, {'meter': 1.0}
odom_x_, {'meter': 1.0}
sonar_11, {'meter': 1.0}
pitch*, {'radian': 1.0}
sq_dist, {'meter': 2.0}
posY, {'meter': 1.0}
roll*, {'radian': 1.0}
v, {'second': -1.0}
sdist, {'meter': 2.0}
front_range_min, {'meter': 1.0}
y, {'meter': 1.0}
gui_path.header.stamp, {'second': 1.0}
wx, {'meter': 1.0}
resultant_angle, {'radian': 1.0}
phi, {'radian': 1.0}
msg_v_att.rollspeed, {'second': -1.0}
y_end, {'meter': 1.0}
delta_y, {'second': 1.0}
tgtvY, {'second': -1.0}
angle_to_goal, {'radian': 1.0}
twoPosDiff, {'second': 1.0}
time, {'second': 1.0}
dx, {'meter': 1.0}
psi, {'radian': 1.0}
dist, {'radian': 1.0}
cz, {'meter': 1.0}
lin_acc_x_, {'second': -2.0, 'meter': 1.0}
angle, {'radian': 1.0}
object_finder_goal.surface_ht, {'meter': 1.0}
beta, {'radian': 1.0}
theta, {'radian': 1.0}
left_x_diff, {'meter': 1.0}
x0, {'meter': 1.0}
x, {'meter': 1.0}
az, {'meter': 1.0}
yaw, {'radian': 1.0}
prev_time, {'second': 1.0}
tY, {'second': -1.0, 'meter': 1.0}
x_vals, {'meter': 1.0}
Distancer, {'meter': 1.0}
it.orientation, {'meter': 1.0}
kd, {'second': -1.0, 'meter': 1.0}
dt, {'second': 1.0}
t, {'radian': 1.0}
elapsed_secs, {'second': 1.0}
dx, {'meter': 1.0}
last_y, {'meter': 1.0}
delta, {'meter': 1.0}
currentY, {'meter': 1.0}
yaw, {'radian': 1.0}
shot_angle, {'radian': 1.0}
angle2, {'radian': 1.0}
z*, {'radian': 1.0}
gamma, {'radian': 1.0}
now, {'second': 1.0}
x, {'second': -1.0, 'meter': 1.0}
roll*, {'radian': 1.0}
min_ang, {'radian': 1.0}
Y, {'meter': 1.0}
dimensionalSurf.header.stamp, {'second': 1.0}
dy, {'meter': 1.0}
del_phi_init_, {'radian': 1.0}
cost, {'meter': 1.0}
th0, {'radian': 1.0}
acy, {'meter': 1.0}
delta, {'radian': 1.0}
startPoint.target_pose.pose.position.x, {'meter': 1.0}
current_Easting_m, {'meter': 1.0}
stime, {'second': 1.0}
distToRight, {'meter': 1.0}
dy, {'meter': 1.0}
y, {'meter': 1.0}
elapsed_secs, {'second': 1.0}
odomY, {'meter': 1.0}
velYsquare, {'second': -1.0, 'meter': 1.0}
negTheta1, {'radian': 1.0}
ang_vel_x_, {'second': -1.0}
right_x_diff, {'meter': 1.0}
v, {'radian': 1.0}
pos_low, {'second': 1.0}
range_min_, {'meter': 1.0}
simulink, {'second': 1.0}
lat_rad, {'radian': 1.0}
x_old, {'meter': 1.0}
delta_y, {'meter': 1.0}
rel_roll, {'radian': 1.0}
Aw, {'second': 1.0, 'meter': -1.0}
absolute1, {'second': 2.0}
pf_init_pose_mean.v, {'meter': 1.0}
cmd_angularVelocity, {'second': -1.0}
t_last, {'second': 1.0}
error_yaw, {'second': -1.0}
yaw*, {'radian': 1.0}
currentTime, {'second': 1.0}
robotX, {'meter': 1.0}
mean_z, {'meter': 1.0}
el, {'second': 1.0}
last_hit, {'second': 1.0}
phi22, {'radian': 1.0}
compassHeading, {'radian': 1.0}
oriR, {'radian': 1.0}
navdata_vision_raw_msg.header.stamp, {'second': 1.0}
y_des, {'meter': 1.0}
time_difference, {'second': 1.0}
dx, {'meter': 1.0}
dif_y, {'second': -1.0, 'meter': 1.0}
goalX, {'meter': 1.0}
z, {'second': -1.0}
vth, {'second': -1.0, 'meter': 1.0}
msg.stamp, {'second': 1.0}
navdata_demo_msg.header.stamp, {'second': 1.0}
c, {'radian': 1.0}
vr, {'second': -1.0, 'meter': 1.0}
y1, {'meter': 1.0}
odomX, {'second': -1.0, 'meter': 1.0}
y_orr, {'quaternion': 1.0}
psi_low_a, {'radian': 1.0}
vx, {'second': 1.0, 'meter': 1.0}
angError, {'second': -1.0}
t, {'second': 1.0}
pi, {'radian': 1.0}
v4, {'second': -1.0}
pointDis, {'meter': 1.0}
vector_angle, {'radian': 1.0}
theta_i, {'radian': 1.0}
range_scan_min, {'meter': 1.0}
cluster.header.stamp, {'second': 1.0}
GPSDataAdvanced_.header.stamp, {'second': 1.0}
x_dot, {'second': -1.0}
dist1, {'meter': 2.0}
dx, {'meter': 1.0}
last_hit, {'second': 1.0}
total_time, {'second': 1.0}
max_delta, {'second': 1.0}
y, {'meter': 1.0}
x149, {'radian': 1.0}
effort_value, {'second': -2.0, 'kilogram': 1.0, 'meter': 2.0}
Ecov, {'second': 1.0}
initial_z, {'meter': 1.0}
dt, {'second': 1.0}
theta, {'radian': 1.0}
d1, {'radian': 1.0}
img_left_.header.stamp, {'second': 1.0}
wy, {'quaternion': 1.0}
velAng, {'second': -1.0}
pi, {'radian': 1.0}
angDiff, {'radian': 1.0}
dist_sqr, {'meter': 2.0}
angle_displacement, {'quaternion': 1.0}
timeNow, {'second': 1.0}
mag_y, {'tesla': 1.0}
goalY, {'meter': 1.0}
travel, {'second': 1.0}
line_end_.x, {'meter': 1.0}
sum_position2, {'meter': 1.0}
c, {'radian': 1.0}
target_direction_back, {'second': -1.0}
dir, {'radian': 1.0}
alpha, {'radian': 1.0}
acy, {'meter': 1.0}
avg, {'meter': 1.0}
image_msg.header.stamp, {'second': 1.0}
x_result*, {'meter': 1.0}
T, {'meter': 1.0}
velocity_.vector, {'second': -1.0, 'meter': 1.0}
totalWeight, {'second': 1.0}
target.y, {'radian': 1.0}
alert.yaw, {'radian': 1.0}
delta_rot1_hat, {'radian': 1.0}
pitch, {'radian': 1.0}
secs, {'second': 1.0}
alt_pos, {'meter': 1.0}
lhTagdata.header.stamp, {'second': 1.0}
_first_execution_time, {'second': 1.0}
left_ir_int.data, {'meter': 1.0}
time_since_start, {'second': 1.0}
y0, {'meter': 1.0}
y_acc, {'second': -1.0, 'meter': 1.0}
out_r, {'radian': 1.0}
theta, {'radian': 1.0}
ang_vel_y_, {'second': -1.0}
a, {'radian': 1.0}
q2, {'quaternion': 1.0}
timeRec, {'second': 1.0}
rot_, {'second': -1.0}
last_callback_duration_, {'second': 1.0}
sigma2_dalpha, {'second': 1.0}
srv_.request.x, {'meter': 1.0}
base_pose, {'meter': 1.0}
dt, {'second': 1.0}
quat_z, {'quaternion': 1.0}
fix_msg.header.stamp, {'second': 1.0}
time, {'second': 1.0}
oz, {'radian': 1.0}
yy, {'meter': 1.0}
delta, {'radian': 1.0}
D, {'second': -1.0}
robotY, {'meter': 1.0}
v_bwd, {'second': -1.0}
positions.rotation, {'radian': 1.0}
y_start, {'meter': 1.0}
y_offset, {'degree_360': 1.0}
mean_t, {'radian': 1.0}
Vs_t, {'second': -1.0, 'meter': 1.0}
lin_acc_z_, {'second': -2.0, 'meter': 1.0}
phi, {'radian': 1.0}
LLStatus_.header.stamp, {'second': 1.0}
dx, {'meter': 1.0}
last_hit, {'second': 1.0}
vel_wheel2, {'second': -1.0}
alpha, {'radian': 1.0}
targetDuration, {'second': 1.0}
impact_time, {'second': 1.0}
point_eig, {'meter': 1.0}
rmat, {'quaternion': 1.0}
dT, {'second': 1.0}
sonar_3, {'meter': 1.0}
q3, {'quaternion': 1.0}
acy, {'meter': 1.0}
angle, {'radian': 1.0}
angle, {'radian': 1.0}
msg.header.stamp, {'second': 1.0}
time1, {'second': 1.0}
lineparallel_deltax, {'meter': 1.0}
d, {'meter': 1.0}
delta, {'radian': 1.0}
lr, {'second': -1.0, 'meter': 1.0}
g_prev_velocity, {'second': -1.0, 'meter': 1.0}
goal_x, {'meter': 1.0}
_p_out, {'meter': 1.0}
creation_time, {'second': 1.0}
dist, {'meter': 1.0}
vr, {'second': -1.0}
vy, {'meter': 1.0}
result.x, {'meter': 1.0}
x_, {'meter': 1.0}
vec_a, {'meter': 1.0}
t0, {'radian': 1.0}
des_state_y_, {'meter': 1.0}
angle, {'radian': 1.0}
delta_x, {'second': -1.0, 'meter': 1.0}
rotation, {'quaternion': 1.0}
vpitch, {'second': 1.0}
dy, {'meter': 1.0}
head_z_diff, {'meter': 1.0}
fps, {'second': -1.0}
x, {'meter': 1.0}
tiempo, {'second': 1.0}
distance_err_last, {'meter': 1.0}
dx, {'second': -1.0}
alpha, {'radian': 1.0}
elapsed_secs, {'second': 1.0}
theta_low_c, {'radian': 1.0}
y, {'meter': 1.0}
navdata_time_msg.header.stamp, {'second': 1.0}
roll, {'radian': 1.0}
datax5, {'meter': 1.0}
x, {'meter': 1.0}
first_ang, {'radian': 1.0}
linear, {'second': -1.0, 'meter': 1.0}
w_ref_, {'second': -1.0}
xinit, {'meter': 1.0}
delta_y, {'second': 1.0}
l2, {'second': 1.0}
theta, {'radian': 1.0}
g_alt_ref, {'meter': 1.0}
yaw, {'radian': 1.0}
t1, {'second': 1.0}
odomX, {'meter': 1.0}
quat_w, {'quaternion': 1.0}
power, {'second': -1.0, 'meter': 1.0}
image_msg.header.stamp, {'second': 1.0}
input_.min_reading, {'meter': 1.0}
cruise_distance, {'meter': 1.0}
theta, {'radian': 1.0}
angle, {'radian': 1.0}
ang_arg, {'radian': 1.0}
time_delta_sec, {'second': 1.0}
rot_, {'second': -1.0}
myLineAngle, {'radian': 1.0}
y_diff, {'meter': 1.0}
dx, {'meter': 1.0}
past_time, {'second': 1.0}
act_angular, {'second': -1.0}
x, {'meter': 1.0}
odom_w, {'second': -1.0}
trip_len, {'meter': 1.0}
lin_acc_z_, {'second': -2.0, 'meter': 1.0}
transformed_box.pose_stamped.pose.position.x, {'meter': 1.0}
delta, {'radian': 1.0}
pointDis, {'meter': 1.0}
wx, {'meter': 1.0}
alpha, {'radian': 1.0}
head_y_tmp, {'meter': 1.0}
nowT, {'second': 1.0}
status_msg.stamp, {'second': 1.0}
delta_rot2_noise, {'radian': 1.0}
start_y, {'meter': 1.0}
image.header.stamp, {'second': 1.0}
by, {'meter': 1.0}
dt, {'second': 1.0}
delta_bearing, {'radian': 1.0}
navdata_vision_of_msg.header.stamp, {'second': 1.0}
dt, {'second': 1.0}
dt, {'second': 1.0}
last_vel_a_, {'second': -1.0}
imu_t, {'second': 1.0}
pitchRec, {'radian': 1.0}
yAngle, {'radian': 1.0}
bcx, {'meter': 1.0}
goal_y, {'meter': 1.0}
msg.header.stamp, {'second': 1.0}
integral_eX, {'second': 1.0}
roll*, {'radian': 1.0}
cone_width, {'meter': 1.0}
theta, {'radian': 1.0}
vth, {'second': -1.0}
roll*, {'radian': 1.0}
x, {'meter': 1.0}
t, {'radian': 1.0}
delta_x, {'meter': 1.0}
ey, {'meter': 1.0}
theta, {'meter': 1.0}
gait_command.fi, {'radian': 1.0}
dist, {'meter': 1.0}
yaw, {'radian': 1.0}
avg_pc_dur_, {'second': 1.0}
v2_x, {'meter': 1.0}
time_from_begin, {'second': 1.0}
bag_elapsed, {'second': 1.0}
og_msg.center.x, {'meter': 1.0}
yAngle, {'radian': 1.0}
s, {'meter': -1.0}
v, {'meter': 1.0}
pan4A, {'radian': 1.0}
theta, {'radian': 1.0}
deltaUT, {'second': 1.0}
x, {'meter': 1.0}
yaw, {'radian': 1.0}
locate, {'meter': 1.0}
delta_rot1_noise, {'radian': 1.0}
z, {'meter': 1.0}
theta, {'radian': 1.0}
delta, {'radian': 1.0}
t, {'second': 1.0}
q_elbow_a, {'radian': 1.0}
vz_gain, {'second': -1.0, 'meter': 1.0}
maxArmHeight, {'meter': 1.0}
thetacenter, {'radian': 1.0}
heading, {'radian': 1.0}
this.clockMsg.clock, {'second': 1.0}
A, {'second': -1.0, 'meter': 1.0}
time_diff, {'second': 1.0}
phi_shoulder_, {'radian': 1.0}
y_end, {'meter': 1.0}
delta, {'radian': 1.0}
msg_v_att.rollspeed, {'second': -1.0}
msg_v_att.rollspeed, {'second': -1.0}
msg.header.stamp, {'second': 1.0}
dy, {'meter': 1.0}
left_elbow_angle_roll, {'radian': 1.0}
yaw, {'radian': 1.0}
dx, {'meter': 1.0}
timeLaserCloudFullRes, {'second': 1.0}
segStartTime, {'second': 1.0}
theta, {'radian': 1.0}
result, {'radian': 1.0}
dt, {'second': 1.0}
smallestY, {'meter': 1.0}
ds, {'meter': 1.0}
theta, {'radian': 1.0}
max_disparity, {'meter': 1.0}
x, {'meter': 1.0}
y1, {'meter': 1.0}
w, {'meter': 1.0}
last_goal_starting_time_, {'second': 1.0}
q_soln, {'radian': 1.0}
speed, {'second': -1.0, 'meter': 1.0}
error_x, {'meter': 1.0}
b, {'radian': 1.0}
x, {'second': -1.0, 'meter': 1.0}
posy, {'meter': 1.0}
val, {'radian': 1.0}
tempgoal.th, {'radian': 1.0}
speed_star, {'second': -1.0, 'meter': 1.0}
angle, {'radian': 1.0}
sample.pose.v, {'radian': 1.0}
r.it_r8, {'second': 1.0}
desired_heading, {'radian': 1.0}
final_goal_x_, {'meter': 1.0}
min, {'meter': 1.0}
delta_time, {'second': 1.0}
dt, {'second': 1.0}
pitch*, {'radian': 1.0}
angle1, {'radian': 1.0}
time_start, {'second': 1.0}
int_marker.pose, {'meter': 1.0}
out_rot, {'second': -1.0}
rot_, {'second': -1.0}
dist, {'meter': 1.0}
y_vals, {'meter': 1.0}
ang_rel, {'radian': 1.0}
navdata_vision_of_msg.header.stamp, {'second': 1.0}
poseTime, {'second': 1.0}
pitch, {'radian': 1.0}
q_wrist, {'radian': 1.0}
irMax, {'meter': 1.0}
transversalVelocity, {'second': -1.0, 'meter': 1.0}
a2, {'radian': 1.0}
odom_y_, {'meter': 1.0}
z, {'meter': 1.0}
TSDiff, {'second': 1.0}
z, {'meter': 1.0}
c, {'meter': 1.0}
distance, {'meter': 1.0}
x, {'meter': 1.0}
p.x, {'meter': 1.0}
diff_x, {'meter': 1.0}
srv.request.begin, {'second': 1.0}
a2, {'second': 1.0}
acc_msg_hbf.header.stamp, {'second': 1.0}
left_x_tmp, {'meter': 1.0}
yawVel, {'second': -1.0}
step_position.x, {'meter': 1.0}
angle_sum, {'radian': 1.0}
summedAngle2, {'second': 1.0}
roll*, {'radian': 1.0}
py, {'meter': 1.0}
diff_x, {'meter': 1.0}
y, {'radian': 1.0}
c, {'radian': 1.0}
delta_rot1_hat, {'radian': 1.0}
dy, {'meter': 1.0}
yaw*, {'radian': 1.0}
e1, {'quaternion': 1.0}
this.x_pos_, {'meter': 1.0}
odom_time_begin_, {'second': 1.0}
acc_w, {'second': -1.0}
gamma, {'radian': 1.0}
dx, {'second': -2.0, 'meter': 1.0}
linx, {'second': -1.0, 'meter': 1.0}
beta, {'radian': 1.0}
Vym, {'meter': 1.0}
v, {'meter': 1.0}
startyangle, {'radian': 1.0}
msg.header.stamp, {'second': 1.0}
elapsed, {'second': 1.0}
lin_acc_y_, {'second': -2.0, 'meter': 1.0}
right_vel, {'second': -1.0}
temp_x, {'meter': 1.0}
x, {'meter': 1.0}
command_msg.left_wheel, {'second': -1.0, 'meter': 1.0}
ang_diff, {'radian': 1.0}
y_end, {'meter': 1.0}
deltatime, {'second': 1.0}
opt_search_range, {'meter': 1.0}
delta_time, {'second': 1.0}
feature_values, {'radian': 1.0}
yaw, {'radian': 1.0}
input_vector, {'second': 1.0}
pos_cmd, {'radian': 1.0}
des_state_vel_, {'second': -1.0, 'meter': 1.0}
t, {'second': 1.0}
quat_w, {'quaternion': 1.0}
pitch, {'radian': 1.0}
diff, {'second': 1.0}
msg.header.stamp, {'second': 1.0}
vec_desp.x, {'meter': 1.0}
bearing_from_x_axis, {'radian': 1.0}
yAngle, {'radian': 1.0}
x_, {'second': -1.0, 'meter': 1.0}
new_push_angle, {'radian': 1.0}
linealVelX, {'second': -1.0, 'meter': 1.0}
roll, {'radian': 1.0}
mean.theta, {'radian': 1.0}
dt, {'second': 1.0}
yaw_path, {'radian': 1.0}
theta, {'radian': 1.0}
v_frw_mps, {'second': -1.0}
statistic_Tx, {'meter': 2.0}
theta, {'radian': 1.0}
beta, {'radian': 1.0}
halftheta, {'radian': 1.0}
tmp_dt, {'second': 1.0}
rollControlGain, {'second': -1.0, 'meter': 1.0}
tp.bandwidth, {'second': -1.0}
acx, {'meter': 1.0}
alpha, {'radian': 1.0}
prog_curr, {'meter': 1.0}
ped.header.stamp, {'second': 1.0}
tloce_pos, {'meter': 1.0}
delta.theta, {'radian': 1.0}
psi4, {'radian': 1.0}
W_Planner, {'second': -1.0}
info.header.stamp, {'second': 1.0}
transformAftMapped, {'meter': 1.0}
dist_sqr, {'meter': 2.0}
res.inter_time, {'second': 1.0}
upsilon, {'radian': -1.0}
z_vals, {'meter': 1.0}
yPos, {'meter': 1.0}
t2, {'quaternion': 1.0}
yaw, {'radian': 1.0}
cam_info_msg_.header.stamp, {'second': 1.0}
max, {'radian': 1.0}
y_mm, {'meter': 1.0}
x, {'second': 1.0}
psi_des, {'radian': 1.0}
x*, {'radian': 1.0}
v2, {'second': -1.0}
quat_z, {'quaternion': 1.0}
absSpeedDemand, {'second': -1.0, 'meter': 1.0}
distance, {'second': -1.0}
theta, {'radian': 1.0}
t3, {'radian': 1.0}
dist, {'meter': 1.0}
rotational_term, {'second': -1.0}
ca, {'radian': 1.0}
heading, {'radian': 1.0}
dy, {'meter': 1.0}
minor_angle_radians, {'radian': 1.0}
delta_z, {'meter': 1.0}
range_min, {'meter': 1.0}
x_, {'second': -1.0, 'meter': 1.0}
y_start, {'meter': 1.0}
dist_sq, {'meter': 2.0}
yrs, {'meter': 1.0}
this.x_pos_, {'meter': 1.0}
odom_y_, {'meter': 1.0}
msg_v_att.rollspeed, {'second': -1.0}
delta, {'radian': 1.0}
dy, {'meter': 1.0}
motion_msg_.wrist_vel.x, {'second': -1.0, 'meter': 1.0}
delta_x, {'second': 1.0}
Dcov, {'second': 1.0}
Ve_End, {'second': 1.0}
mvc.motor1, {'second': -1.0, 'meter': 1.0}
theta, {'radian': 1.0}
sqr_distance1, {'meter': 2.0}
ax, {'radian': 1.0}
error_x, {'meter': 1.0}
posOld, {'meter': 1.0}
delta_y, {'second': 1.0}
linError, {'second': -1.0, 'meter': 1.0}
state_.header.stamp, {'second': 1.0}
bcy, {'meter': 1.0}
range, {'meter': 1.0}
Prop_R_B2ENU_12, {'second': -1.0}
outY, {'meter': 1.0}
delta, {'radian': 1.0}
quat_w, {'quaternion': 1.0}
theta, {'radian': 1.0}
now, {'second': 1.0}
cmdSway, {'second': -2.0, 'meter': 1.0}
theta, {'radian': 1.0}
window, {'second': 1.0}
age, {'second': 1.0}
cx, {'meter': 1.0}
angle, {'radian': 1.0}
imageRosMsg.header.stamp, {'second': 1.0}
theta_vert_minus2, {'radian': 1.0}
dx, {'meter': 1.0}
angle2, {'radian': 1.0}
dt, {'second': 1.0}
v, {'second': -1.0, 'meter': 1.0}
db_msg.header.stamp, {'second': 1.0}
angle, {'radian': 1.0}
phi, {'radian': 1.0}
lateral_err, {'meter': 1.0}
desired_orientation, {'radian': 1.0}
decel_time, {'second': -1.0, 'meter': 1.0}
pitch, {'radian': 1.0}
zr_star_hat, {'second': 1.0}
angle, {'radian': 1.0}
ax, {'radian': 1.0}
sum_iav_sq, {'radian': 1.0}
d_time, {'second': 1.0}
v4x, {'second': -1.0}
left_z_diff, {'meter': 1.0}
ang, {'radian': 1.0}
odom_y_, {'meter': 1.0}
normalizedDis, {'meter': 1.0}
x1, {'meter': 1.0}
lin_acc_z_, {'second': -2.0, 'meter': 1.0}
d_term, {'second': -1.0}
angle_turned, {'quaternion': 1.0}
pos, {'meter': 1.0}
target_theta, {'radian': 1.0}
roll*, {'radian': 1.0}
v1_y, {'meter': 1.0}
phi, {'radian': 1.0}
vel, {'meter': -1.0}
cell_visited.header.stamp, {'second': 1.0}
information, {'second': 1.0}
a_x, {'meter': 1.0}
a, {'meter': 1.0}
zCent, {'meter': 1.0}
eucl_distance, {'meter': 1.0}
y_1, {'meter': 1.0}
estimate_vel_msg.header.stamp, {'second': 1.0}
pitch_delta1, {'meter': 1.0}
epvant, {'second': -1.0}
msg.header.stamp, {'second': 1.0}
image_raw_buf.header.stamp, {'second': 1.0}
meanPositionDeviation, {'second': 1.0}
delta, {'radian': 1.0}
origin, {'meter': 1.0}
image_right.header.stamp, {'second': 1.0}
a, {'radian': 1.0}
head1_y, {'meter': 1.0}
v_base, {'meter': 1.0}
pret.theta, {'radian': 1.0}
u, {'radian': 1.0}
y_increment, {'second': -1.0, 'meter': 1.0}
y, {'meter': 1.0}
begin, {'second': 1.0}
this.x_pos_, {'meter': 1.0}
times, {'second': 1.0}
pitchControlGain, {'second': -1.0, 'meter': 1.0}
z, {'meter': 1.0}
acy, {'meter': 1.0}
min_ang, {'radian': 1.0}
Vt, {'second': 1.0}
dz, {'meter': 1.0}
rx, {'second': -1.0}
length*, {'meter': 1.0}
std_dev_forward, {'radian': 2.0}
v_base, {'meter': 1.0}
tgt_angle, {'radian': 1.0}
majorRadiusAngle, {'radian': 1.0}
angleToRef, {'radian': 1.0}
c, {'meter': 1.0}
k.p, {'meter': 1.0}
p, {'meter': 1.0}
linearSpeed, {'meter': 1.0}
dt, {'second': 1.0}
g_dt, {'second': 1.0}
angle, {'radian': 1.0}
neg, {'radian': 1.0}
range, {'meter': 1.0}
alpha, {'radian': 1.0}
delta, {'radian': 1.0}
rate, {'second': -1.0}
pose_out, {'meter': 1.0}
myLineAngle, {'radian': 1.0}
current_diagonal, {'meter': 2.0}
out.stamp_, {'second': 1.0}
msg.header.stamp, {'second': 1.0}
left_v, {'second': -1.0}
res.ual_state.dynamic_state.position.x, {'meter': 1.0}
v_fwd, {'second': -1.0}
previous_angle_, {'radian': 1.0}
both_angle, {'radian': 1.0}
mean.theta, {'radian': 1.0}
lon_rad, {'radian': 1.0}
position, {'meter': 1.0}
rate, {'second': -1.0}
path_xinitial, {'meter': 1.0}
llh, {'radian': 1.0}
acceleration.x, {'second': -1.0, 'meter': 1.0}
pos_x, {'meter': 1.0}
nano_mx, {'second': -2.0, 'meter': 2.0, 'kilogram': 1.0}
mean.theta, {'radian': 1.0}
ang_vel_y_, {'second': -1.0}
array, {'meter': 1.0}
y, {'meter': 1.0}
robot_x, {'meter': 1.0}
dqvec, {'second': -1.0}
desRoll, {'meter': 1.0}
last_time, {'second': 1.0}
yaw, {'radian': 1.0}
minimum_distance, {'meter': 1.0}
theta, {'radian': 1.0}
a1, {'radian': 1.0}
delta_time_pose, {'second': 1.0}
v, {'meter': 1.0}
perp_dot, {'meter': 2.0}
time_total, {'second': 1.0}
tmp1, {'quaternion': 1.0}
diagnostics, {'second': -1.0}
beta, {'radian': 1.0}
geometry_msgs::Vector3&angular_velocity, {'second': -1.0}
dx, {'meter': 1.0}
y, {'second': 1.0}
angDist2Sphere, {'radian': 1.0}
right_y_diff, {'meter': 1.0}
v, {'second': -1.0, 'meter': 1.0}
acc_z, {'meter': 1.0}
right_z, {'meter': 1.0}
freq, {'second': -1.0}
image_msg.header.stamp, {'second': 1.0}
yaw, {'radian': 1.0}
current_angular_velocity, {'second': -2.0}
f, {'meter': -2.0}
yA, {'quaternion': 1.0}
panPID, {'second': -1.0}
pathLength, {'meter': 1.0}
old_front_back, {'second': -1.0, 'meter': 1.0}
roll_Acc, {'radian': 1.0}
x2, {'meter': 1.0}
angle2*, {'radian': 1.0}
temp_v, {'meter': 1.0}
t3, {'radian': 1.0}
imu_pitch, {'radian': 1.0}
sqr_distance1, {'meter': 2.0}
sensorStatus.header.stamp, {'second': 1.0}
theta_i_minus, {'radian': 1.0}
delta_y, {'meter': 1.0}
error, {'meter': 1.0}
srv.request.start_time, {'second': 1.0}
v, {'radian': 1.0}
tf::Vector3&p, {'meter': 1.0}
target_y, {'meter': 1.0}
angular_in.vector, {'second': -1.0}
linear_, {'second': -1.0, 'meter': 1.0}
image.header.stamp, {'second': 1.0}
norm_v2, {'meter': 2.0}
dt, {'second': 1.0}
crossProduct, {'meter': 2.0}
yaw_, {'radian': 1.0}
pAngle, {'radian': 1.0}
new_target.thrust, {'quaternion': 1.0}
delta_y, {'second': 1.0}
left_y_tmp, {'meter': 1.0}
acc_doubleintegral_, {'second': 1.0}
img_right_.header.stamp, {'second': 1.0}
delta.theta, {'radian': 1.0}
bin_center_z, {'meter': 1.0}
Eigen::delta_v_est_W, {'second': 1.0}
y1, {'meter': 1.0}
tz, {'second': -2.0, 'meter': 2.0, 'kilogram': 1.0}
majorRadiusAngle, {'radian': 1.0}
height, {'meter': 1.0}
Veloy_twist, {'second': -1.0, 'meter': 1.0}
dx, {'meter': 1.0}
angle_vertical, {'meter': 1.0}
trans, {'meter': 1.0}
roll*, {'radian': 1.0}
ty, {'meter': 1.0}
response.stamp, {'second': 1.0}
msg_vero.steerAngle, {'radian': 1.0}
tX, {'second': -1.0, 'meter': 1.0}
cvi.header.stamp, {'second': 1.0}
euler, {'radian': 1.0}
mu, {'second': 1.0}
delta_rot1, {'radian': 1.0}
T4P.data, {'second': 1.0}
c, {'radian': 1.0}
testy, {'meter': 1.0}
refAngle, {'radian': 1.0}
meter_flow_y, {'meter': 1.0}
dist, {'meter': 1.0}
myLineAngle, {'radian': 1.0}
angular_speed, {'radian': 1.0}
t_dip, {'second': -1.0, 'meter': 1.0}
truth_yaw, {'radian': 1.0}
Pitch, {'second': 1.0, 'meter': 1.0}
sdist, {'meter': 2.0}
srv.request.header.stamp, {'second': 1.0}
distance_scan, {'meter': 1.0}
az, {'radian': 1.0}
x_, {'second': -1.0, 'meter': 1.0}
angle_to_target, {'radian': 1.0}
turn_start_yaw_change, {'radian': 1.0}
a, {'radian': 1.0}
testx, {'meter': 1.0}
odom_angularVelocity, {'second': -1.0}
lastx, {'meter': 1.0}
delta_rot1, {'radian': 1.0}
roll*, {'radian': 1.0}
azimuth, {'radian': 1.0}
euler_angle_ZYX_X, {'radian': 1.0}
angle_, {'radian': 1.0}
norm_quat, {'quaternion': 1.0}
rightSonar, {'meter': 1.0}
sonar_6, {'meter': 1.0}
x, {'meter': 1.0}
vc_temp, {'second': 1.0}
hat_R_B2ENU_33, {'second': -1.0}
rear_distance_, {'meter': 1.0}
x_des, {'meter': 1.0}
x_plus_theta, {'radian': 1.0}
current_in_frame, {'meter': 1.0}
tmpTheta, {'radian': 1.0}
z, {'meter': 1.0}
v, {'radian': 1.0}
gyro, {'second': -1.0}
msg.header.stamp, {'second': 1.0}
delta, {'meter': 2.0}
IKA2, {'radian': 1.0}
new_grasp_vec, {'meter': 1.0}
rx, {'second': -1.0}
t0, {'radian': 1.0}
vTrans, {'meter': 1.0}
a, {'meter': 1.0}
dy, {'meter': 1.0}
quat_z, {'quaternion': 1.0}
dt, {'second': 1.0}
